ID,utterances,IOB Slot tags
522,gilda director,B_movie O
523,list gilda director,O B_movie O
524,search director for gilda,O O O B_movie
525,search gilda director,O B_movie O
526,the movie gilda director,O O B_movie O
527,who directed gilda,O O B_movie
528,who directed gilda,O O B_movie
529,who directed gilda,O O B_movie
530,who directed the movie gilda,O O O O B_movie
531,goodfellas director,B_movie O
532,who made field of dreams,O O B_movie I_movie I_movie
533,who made the movie field of dreams,O O O O B_movie I_movie I_movie
534,who made the movie field of dreams possible,O O O O B_movie I_movie I_movie O
535,can i please see more details for the director of finding nemo,O O O O O O O O O O B_movie I_movie
536,find the director for finding nemo,O O O O B_movie I_movie
537,i want to know the director of finding nemo,O O O O O O O B_movie I_movie
538,i want to know who directed finding nemo,O O O O O O B_movie I_movie
539,show me finding nemo director,O O B_movie I_movie O
540,who directed finding nemo,O O B_movie I_movie
541,who directed finding nemo,O O B_movie I_movie
542,who directed finding nemo,O O B_movie I_movie
543,who directed finding nemo,O O B_movie I_movie
544,who directed finding nemo,O O B_movie I_movie
545,who directed finding nemo,O O B_movie I_movie
546,who was the director of the film finding nemo,O O O O O O O B_movie I_movie
547,who directed hitch,O O B_movie
548,who made hitch,O O B_movie
549,director for anne of green gables,O O B_movie I_movie I_movie I_movie
550,search director of the movie platoon,O O O O O B_movie
551,who was the director of movie varsham,O O O O O O B_movie
552,who directed grizzly man,O O B_movie I_movie
553,who directed to kill a mockingbird,O O B_movie I_movie I_movie I_movie
554,who was the director of the movie e t,O O O O O O O B_movie I_movie
555,find the director for et,O O O O B_movie
556,who made et,O O B_movie
557,who was the director of the movie jaws,O O O O O O O B_movie
558,look up info about jurassic park 's director,O O O O B_movie I_movie O O
559,who directed jurassic park,O O B_movie I_movie
560,who directed jurassic park,O O B_movie I_movie
561,who directed jurassic park,O O B_movie I_movie
562,old man director,B_movie I_movie O
563,can you find out who directed the movie batman,O O O O O O O O B_movie
564,can you tell me who is the director of batman,O O O O O O O O O B_movie
565,who directed batman,O O B_movie
566,who is the director of batman,O O O O O B_movie
567,looper directors,B_movie O
568,who directed the perfect storm,O O B_movie I_movie I_movie
569,who directed dirty dancing,O O B_movie I_movie
570,director for pride and prejudice,O O B_movie I_movie I_movie
571,who directed the movie the thing called love,O O B_movie O B_movie I_movie I_movie I_movie
572,director of twilight,O O B_movie
573,twilight was directed by whom,B_movie O O O O
574,who else directs zombie movies,O O O B_subject O
575,director of hum tum,O O B_movie I_movie
576,director of the movie hum tum,O O O O B_movie I_movie
577,find the director of hum tum,O O O O B_movie I_movie
578,look for the director of hum tum,O O O O O B_movie I_movie
579,director of the cabin in the woods,O O B_movie I_movie I_movie I_movie I_movie
580,i am interested in who directed cabin in the woods,O O O O O O B_movie I_movie I_movie I_movie
581,show me who directed cabin in the woods,O O O O B_movie I_movie I_movie I_movie
582,who directed the movie cabin in the woods,O O O O B_movie I_movie I_movie I_movie
583,who directed soul surfer,O O B_movie I_movie
584,who directed the sandlot,O O B_movie I_movie
585,which director made a comedy,O O O O B_genre
586,director of halloween,O O B_movie
587,find the director of step up,O O O O B_movie I_movie
588,search for the director of step up,O O O O O B_movie I_movie
589,search for the director of step up,O O O O O B_movie I_movie
590,i need to know who directed black swan,O O O O O O B_movie I_movie
591,i want to look for the director of freedom writers,O O O O O O O O B_movie I_movie
592,i would like to look for the director of freedom writers,O O O O O O O O O B_movie I_movie
593,who directed the movie titanic,O O O O B_movie
594,who was the director of the movie the mechanic,O O O O O O O B_movie I_movie
595,find the director of mask,O O O O B_movie
596,director of the hulk,O O O B_movie
597,did robert wise direct the sound of music,O B_director I_director O B_movie I_movie I_movie I_movie
598,was robert wise the only director of the sound of music,O B_director I_director O O O O B_movie I_movie I_movie I_movie
599,who directed the sound of music,O O B_movie I_movie I_movie I_movie
600,who directed the sound of music,O O B_movie I_movie I_movie I_movie
601,who directed the sound of music,O O B_movie I_movie I_movie I_movie
602,what director shot the 1st lord of the rings film,O O O O O B_movie I_movie I_movie I_movie O
603,who directed return,O O B_movie
604,who is the director of return,O O O O O B_movie
605,search for the name of the director of return,O O O O O O O O B_movie
606,what was the name of the director in men in black 3,O O O O O O O O B_movie I_movie I_movie I_movie
607,what is the name of the director of the movie avengers,O O O O O O O O O O B_movie
608,find the name of the director of chips,O O O O O O O B_movie
609,name of director for house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
610,name the director of sleepless in seattle,O O O O B_movie I_movie I_movie
611,find name of director of the movie platoon,O O O O O O O B_movie
612,get me the name of who directed the master,O O B_movie O O O O B_movie I_movie
614,what is the name of the person who made et,O O O O O O O O O O
616,what type of movie is gilda,O O O O O B_movie
617,what types of movies does lionsgate produce,O O O O O B_producer O
618,what kind of movie is black swan,O O O O O B_movie I_movie
619,what genre is the hunger games,O O O B_movie I_movie I_movie
620,genre for transformers,O O B_movie
621,what genre is looper,O O O B_movie
622,what genre is the movie looper,O O O O O B_movie
623,what genre is rambo,O O O B_movie
624,what genre is the jaws movies,O O O O B_movie O
625,can you tell me the genre for 1000 words,O O O O O O O B_movie I_movie
626,i am interested in the genre for 1000 words,O O O O O O O B_movie I_movie
627,what type of movie is parenthood,O O O O O B_movie
628,give me the genre of the movie lawless,O O O O O O O B_movie
629,what genre is the movie lawless,O O O O O B_movie
630,what is the genre of the movie lawless,O O O O O O O B_movie
631,what genre is the movie in july,O O O O O B_movie I_movie
632,genre for gone with the wind,O O B_movie I_movie I_movie I_movie
633,how is the movie classified,O O O O O
634,what genre is the movie,O O O O O
635,what is the movie category,O O O O O
636,how would you describe the movie,O O O O O O
637,type of movie,O O O
638,what is the classification of movie,O O O O O O
639,what is the genre for movie,O O O O O O
640,what is the movie genre,O O O O O
641,what kind of movie,O O O O
642,what type of movie is this,O O O O O O
643,i would like look up the genre step up is in,O O O O O O O B_movie I_movie O O
644,search for the genre step up in,O O O O B_movie I_movie O
645,what genre is step up in,O O O B_movie I_movie O
646,what genre is calendar girls in,O O O B_movie I_movie O
647,what is the genre for the patriot,O O B_movie O O B_movie I_movie
648,what genre is network in,O O O B_movie O
649,find out the genre for the movie rebel,O O O O O O O B_movie
650,genre for the avengers,O O B_movie I_movie
651,can you tell me what genre the movie avatar falls in,O O O O O O O O B_movie O O
652,i need to know the genre of the movie avatar,O O O O O O O O O B_movie
653,show me the genre of the movie avatar,O O O O O O O B_movie
654,what genre is superman,O O O B_movie
655,pretty girl movie genre,B_movie I_movie O O
656,pretty girl what is the movie 's genre,B_movie I_movie O O O O O O
657,what genre is pretty girl,O O O B_movie I_movie
658,what genre is the movie pretty girl,O O O O O B_movie I_movie
659,find out what kind of movie grease is,O O O O O O B_movie O
660,i d like to know the genre of the film grease,O O O O O O O O O O B_movie
661,i would like to know the genre of grease,O O O O O O O O B_movie
662,what kind of movie is grease,O O O O O B_movie
663,find out the genre for the movie annamayya,O O O O O O O B_movie
664,what movie category is friday the 13th,O O O O B_movie I_movie I_movie
665,tell me what genre the tommyknockers is,O O O O B_movie I_movie O
666,what genre is the hangover,O O O B_movie I_movie
667,what catergory is ted in,O O O B_movie O
668,what genre is ted considered,O O O B_movie O
669,what type of movie is ted considered to be,O O O O O B_movie O O O
670,genre for while you were sleeping,O O B_movie I_movie I_movie I_movie
671,what genre is finding nemo,O O O B_movie I_movie
672,which language is used in the movie,O O O O O O O
673,language of sound of music,O I_movie I_movie I_movie I_movie
674,what language is this film,O O O O O
675,what are the different languages this movie come in,O O O O O O O O O
676,what foreign language is spoken in movie,O O O O O O O
677,what language is movie in,O O O O O
678,what language is the movie in,O O O O O O
679,what language is the movie in,O O O O O O
680,language of anna karinia,O O B_movie I_movie
681,language of godzilla movie,O O B_movie O
682,language of hamlet,O O B_movie
683,can you tell me the language of the movie hero,O O O O O O O O O B_movie
684,i need to know what is the language of the movie hero,O O O O O O O O O O O B_movie
685,tell me what is the language of the movie hero,O O O O O O O O O B_movie
686,language of bullhead,O O B_movie
687,what language is shindler 's list in,O O O B_movie I_movie I_movie O
688,what language did the characters speak in black swan,O O O O O O O B_movie I_movie
689,what language is black swan,O O O B_movie I_movie
690,please find what language the chaser is in,O O O O B_movie I_movie O O
691,what language is the chaser in,O O O B_movie I_movie O
692,look up what language the chaser is in,O O O O B_movie I_movie O O
693,ondskan 's language,B_movie O O
694,what language is la havre in,O O O B_movie I_movie O
695,what foreign language is the movie belle available to view in,O O O O O O B_movie O O O O
696,what language can i watch the movie the professional,O O O O O O O B_movie I_movie
697,what language is the professional in,O O O B_movie I_movie O
698,how do they speak in the movie the professional,O O O O O O O B_movie I_movie
699,what language is spoken in indochine,O O O O O B_movie
700,language of the film revanche,O O O O B_movie
701,what language was aguirre wrath of god in,O O O B_movie I_movie I_movie I_movie O
702,what language is passion of the christ in,O O O B_movie I_movie I_movie I_movie O
703,i want to know in what language was ju on filmed,O O O O O O O O B_movie I_movie O
704,i want to know the original language of ju on,O O O O O O O O B_movie I_movie
705,tell me the language of ju on,O O O O O B_movie I_movie
706,what language is ju on on,O O O B_movie I_movie O
707,what language is the movie elling in,O O O O O B_movie O
708,language of a separation,O O B_movie I_movie
709,what s the language of moscow does not believe in tears,O O O O O B_movie I_movie I_movie I_movie I_movie I_movie
710,what is the language of the movie aankhen,O O O O O O O B_movie
711,can you tell me the language of the movie aankhen,O O O O O O O O O B_movie
712,what are the names of films produced by steven spielberg,O O O O O O O O B_producer I_producer
713,can you tell me names of some movies by director martin scorsese,O O O O O O O O O O B_director I_director
714,find movie titles,O O O
715,what are the names of movies made in the united states,O O O O O O O O O B_country I_country
716,i would like to know the names of all the movies which have been directed by james cameron,O O O O O O O O O O O O O O O O B_director I_director
717,what are the titles of all the movies that george lucas produced,O O O O O O O O O B_producer I_producer O
718,names of romantic indian films,O O B_genre B_country O
719,can you show me names of some indian romantic movies,O O O O O O O B_country B_genre O
720,i would like to know names of some indian movies,O O O O O O O O B_country O
721,japanese movie titles,B_country O O
722,can you give me names of some movies having pg thirteen rating,O O O O O O O O O B_mpaa_rating I_mpaa_rating O
723,i would like to get names of some movies with pg thirteen rating,O O O O O O O O O O B_mpaa_rating I_mpaa_rating O
724,show me names of some romantic movies having a pg thirteen rating,O O O O O B_genre O O O B_mpaa_rating I_mpaa_rating O
725,what are the names of movies with zombies in them,O O O O O O O B_subject O O
726,i need to know the names of all the movies produced by william packer,O O O O O O O O O O O O B_producer I_producer
727,stephen king directed what movie,B_director I_director O O O
728,what movies did stephen king direct,O O O B_director I_director O
729,watch the last james cameron movie,O O O B_director I_director O
730,find movies by release date,O O O O O
731,show movie ratings,O O O
732,movie ratings,O O
733,richard lester produced what other movies,B_producer I_producer O O O O
734,show me westerns,O O B_genre
735,was kevin bacon in apollo thirteen,O B_cast I_cast O B_movie I_movie
736,i need movie information for life is beautiful,O O O O O B_movie I_movie I_movie
737,life is beautiful movie page,B_movie I_movie I_movie O O
738,i want to know more about the movie life is beautiful,O O O O O O O O B_movie I_movie I_movie
739,i would like info on the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
740,please show me info on the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
741,search for the movie life is beautiful,O O O O B_movie I_movie I_movie
742,what are the particulars for the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
743,can i see more info the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
744,can you show me info on the movie life is beautiful please,O O O O O O O O B_movie I_movie I_movie O
745,display information for the movie life is beautiful,O O O O O B_movie I_movie I_movie
746,find movies about dancing,O O O B_subject
747,i want to look up movies about dancing,O O O O O O O B_subject
748,look up movies about dancing,O O O O B_subject
749,search for movies about dancing,O O O O B_subject
750,give me a list of will ferrell films,O O O O O B_person I_person O
751,i want to see any movies will ferrell has been in,O O O O O O B_cast I_cast O O O
752,i would like to see will ferrell movies,O O O O O B_person I_person O
753,list will ferrell films,O B_person I_person O
754,movies will ferrell played in,O B_cast I_cast O O
755,what are some films will ferrell starred in,O O O O B_cast I_cast O O
756,what movies has will ferrell been in,O O O B_cast I_cast O O
757,what movies is will ferrell in,O O O B_cast I_cast O
758,will ferrell films,B_person I_person O
759,will ferrell movies,B_person I_person O
760,will ferrell movies,B_person I_person O
761,will ferell videos,B_person I_person O
762,i want to see videos of will ferrell,O O O O O O B_person I_person
763,all videos of will ferrell,O O O B_person I_person
764,can you find me movies in russian,O O O O O O B_language
765,where can i find movies in russian,O O O O O O B_language
766,find russian movies,O B_country O
767,find russian movies,O B_country O
768,search for russian movies,O O B_country O
769,show me movies from poland,O O O O B_country
770,i would like to see a polish language film,O O O O O O B_language I_language O
771,i am interested in watching a movie in polish,O O O O O O O O B_language
772,i want to see a polish movie,O O O O O O O
773,list some funny russian movies,O O O O O
774,i am looking for the information on the movie pretty women,O O O O O O O O O B_movie I_movie
775,list of barry sonnenfeld films,O O B_director I_director O
776,find martin scorsese films,O B_director I_director O
777,i want to see a movie which was directed by scorsese,O O O O O O O O O O B_director
778,show all movies directed by martin scorcese,O O O O O B_director I_director
779,movies with meg ryan,O O B_cast I_cast
780,gross earnings for movies,O O O O
781,i want to watch movies directed by jackie chan,O O O O O O O B_director I_director
782,star wars,B_movie I_movie
783,what are the plots of hotel rwanda,O O O O O B_movie I_movie
784,tim burton movies,B_director I_director O
785,bings movie page finding nemo,O O O B_movie I_movie
786,display information for film finding nemo,O O O O B_movie I_movie
787,finding nemo movie shortcut,B_movie I_movie O O
788,whats some details for the movie finding nemo,O O O O O O B_movie I_movie
789,show all details of original finding nemo movie,O O O O O B_movie I_movie O
790,get details of original finding nemo movie,O O O O B_movie I_movie O
791,finding nemo movie page,B_movie I_movie O O
792,find movie finding nemo,O O B_movie I_movie
793,display all details of original finding nemo movie,O O O O O B_movie I_movie O
794,find all details of original finding nemo movie,O O O O O B_movie I_movie O
795,what has andrew stanton directed,O O B_director I_director O
796,what movies has andrew stanton directed,O O O B_director I_director O
797,what did lee unkrich direct,O O B_director I_director O
798,i would like to see a movie with albert brooks in it,O O O O O O O O B_cast I_cast O O
799,find me films produced by drew barrymore,O O O O O B_producer I_producer
800,what movies that clint eastwood starred in did he also direct,O O O B_director I_director O O O O O O
801,what movies did clint eastwood direct and star in,O O O B_director I_director O O O O
802,i want to watch a movie by sergio leone,O O O O O O O B_director I_director
803,show sergio leone 's movies,O B_director I_director O O
804,show me movies directed by sergio leone,O O O O O B_director I_director
805,movies that have been directed by tony scott,O O O O O O B_director I_director
806,show me movies from brazil,O O O O B_country
807,show me horror movie earnings,O O B_genre O O
808,movies with harrison ford,O O B_cast I_cast
809,show me only movies with harrison ford,O O O O O B_cast I_cast
810,name the movies clive owen has been in,O O O B_cast I_cast O O O
811,what movies has clive owen been in,O O O B_cast I_cast O O
812,what movies has clive owen starred in,O O O B_cast I_cast O O
813,find ms. congeniality,O B_movie I_movie
814,find spike lee directed movies,O B_director I_director O O
815,what movies did spike lee direct,O O O B_director I_director O
816,movies cecil b demille,O B_person I_person I_person
817,i want to see a comedy in spanish,O O O O O B_genre O B_language
818,find films,O O
819,find films,O O
820,find movies,O O
821,in search for movies,O O O O
822,looking for movies,O O O
823,find a movie,O O O
824,are there movies not rated g,O O O O O B_mpaa_rating
825,i don 't want any g rated movies,O O O O O B_mpaa_rating O O
826,can you find some drama movies,O O O O B_genre O
828,looking for a drama movie,O O O B_genre O
829,show me a list of movies in english,O O O O O O O B_language
830,show me english movies,O O B_language O
831,find english movies,O B_language O
832,can i get a list of movies available in english,O O O O O O O O O B_language
833,show me movies in english,O O O O B_language
834,i would like to see movies in english,O O O O O O O B_language
835,movies in english,O O B_language
836,show me a list of all movies made in the united states,O O O O O O O O O O B_country I_country
837,what are all movies made by united states,O O O O O O B_country I_country
838,what movies have been made in the united states,O O O O O O O B_country I_country
839,movies from the us,O O O B_country
840,what are all of the movies made in usa,O O O O O O O O B_country
841,i want to see movies made in america,O O O O O O O B_country
842,show me a list of movies made in america,O O O O O O O O B_country
843,show me movies made in america,O O O O O B_country
844,please tell me if you have any movies from the united states,O O O O O O O O O O B_country I_country
845,movies from the us,O O O B_country
846,please tell me about movies from the usa,O O O O O O O B_country
847,english movie list,B_language O O
848,show me thrillers,O O B_genre
849,show me thrillers,O O B_genre
850,show me comedies,O O B_genre
851,looking for a comedy movie,O O O B_genre O
852,see comedy,O B_genre
853,show me comedy movies,O O B_genre O
854,show me funny movies,O O B_genre O
855,movies that have comedy,O O O B_genre
856,can you show me a list of scary movies,O O O O O O O B_genre O
857,i am in the mood for a horror film,O O O O O O O B_genre O
858,looking for a horror movie,O O O B_genre O
859,search for horror movies,O O B_genre O
860,show me horror movies,O O B_genre O
861,show only horror movies,O O B_genre O
862,show me a list of scary movies,O O O O O B_genre O
863,i want to see a list of scary movies,O O O O O O O B_genre O
864,funny scary movies,B_genre I_genre O
865,movies by producer,O O O
866,find movies by producer,O O O O
867,movies with bruce willis,O O B_cast I_cast
868,clint eastwood movies,B_person I_person O
869,find movies from canada,O O O B_country
870,get me canadian movies,O O B_country O
871,show me movies from canada,O O O O B_country
872,look up information about canadian movies,O O O O B_country O
873,get movies from canada,O O O B_country
874,show me a list of any movies made in canada,O O O O O O O O O B_country
875,find movies filmed in canada,O O O O B_country
876,get films made in canada,O O O O B_country
877,show me canadian films,O O B_country O
878,show me canadian movies,O O B_country O
879,are there any canadian movies,O O O B_country O
880,are there any canadian movies,O O O B_country O
881,find canadian films,O B_country O
882,what are some movies made outside the us,O O O O O O O B_country
883,movies from germany,O O B_country
884,i want to watch movies from germany,O O O O O O B_country
885,display movies made in germany,O O O O B_country
886,find movies done in germany,O O O O B_country
887,what movies do you have that were made in italy,O O O O O O O O O B_country
888,movies from italy,O O B_country
889,does italy make any movies,O B_country O O O
890,find italian movies,O B_country O
891,italian films,B_country O
892,italian movies,B_country O
893,show me italian movies,O O B_country O
894,get all italian language movies,O O B_language I_language O
895,send me movies that are in italian,O O O O O O B_language
896,movies with italian language,O O B_language I_language
897,show me movies in italian,O O O O B_language
898,what movies are in italian,O O O O B_language
899,search for movies in italian,O O O O B_language
900,find movies in italian,O O O B_language
901,a list of all italian speaking movies,O O O O B_language O O
902,give me a list of movies from spain,O O O O O O O B_country
903,see movies from spain,O O O B_country
904,movies from spain,O O B_country
905,movies from spain,O O B_country
906,i want to see movies from spain,O O O O O O B_country
907,movies made in spain,O O O B_country
908,are there any movies made in spain,O O O O O O B_country
909,bring up spanish movies,O O B_language O
910,can you show me movies spanish,O O O O O B_language
911,can you show me spanish movies,O O O O B_language O
912,find spanish movies,O B_language O
913,find spanish movies,O B_language O
914,get me spanish movies,O O B_language O
917,i want only spanish movies,O O O B_language O
918,i want to look up spanish movies,O O O O O B_language O
919,list spanish movies,O B_language O
920,list spanish movies,O B_language O
921,look for spanish movies,O O B_language O
922,search for spanish movies,O O B_language O
923,search for spanish movies,O O B_language O
924,show me spanish movies,O O B_language O
925,spanish movie listing,B_language O O
926,spanish movies,B_language O
927,find romance movies,O B_genre O
928,give me a list of romance movies,O O O O O B_genre O
929,find me romantic movies,O O B_genre O
930,i want to find romantic movies,O O O O B_genre O
931,locate romantic movies for me,O B_genre O O O
932,list some movies that are in french,O O O O O O B_language
933,find french language movies,O B_language I_language O
934,find movies in french,O O O B_language
935,find movies is french,O O O B_language
936,list movies in french,O O O B_language
937,look for movies in french,O O O O B_language
938,search for movies in french,O O O O B_language
939,search for movies in french,O O O O B_language
940,show me movies produced in french,O O O O O B_language
941,show movies in french,O O O B_language
942,show only movies that are in french,O O O O O O B_language
943,find french language movies,O B_language I_language O
944,list of all french speaking films,O O O B_language O O
945,list of french language movies,O O B_language I_language O
946,show me movies in french,O O O O B_language
947,can you list movies in french,O O O O O B_language
948,find all films showing in french,O O O O O B_language
949,show me a list of all the movies produced by william packer,O O O O O O O O O O B_producer I_producer
950,information about movie,O O O
951,show me information about movie,O O O O O
952,show me information on movie,O O O O O
953,tell me about movie,O O O O
954,please show me all of the films that involve kevin bacon,O O O O O O O O O B_person I_person
955,i want movies about 9-11,O O O O B_subject
956,what other movies has bill paxton starred in,O O O O B_cast I_cast O O
957,find some suspenseful movies,O O B_genre O
958,a movie based on time travel,O O O O B_subject I_subject
959,find time travel movies,O B_subject I_subject O
960,give me a list of time travel movies,O O O O O B_subject I_subject O
961,movies about time travel,O O B_subject I_subject
962,show me movies about time travel,O O O O B_subject I_subject
963,show me movies with time travel themes,O O O O B_subject I_subject O
964,show me time travel movies,O O B_subject I_subject O
965,show videos about time travel,O O O B_subject I_subject
966,time travel movies,B_subject I_subject O
967,what are movies whose topic involves time travel,O O O O O O B_subject I_subject
968,movies about time travel,O O B_subject I_subject
969,movies about time travel,O O B_subject I_subject
970,show me movies about time travel,O O O O B_subject I_subject
971,show me movies about time travel,O O O O B_subject I_subject
972,show me some movies that are related to time travel,O O O O O O O O B_subject I_subject
973,what are some movies that involve time travel,O O O O O O B_subject I_subject
974,what movies discuss time travel,O O O B_subject I_subject
975,quentin tarrantino movies,B_director I_director O
976,what movies did quentin terrantino direct,O O O B_director I_director O
977,list the movies anna paquin has starred in,O O O B_cast I_cast O O O
978,movies from england,O O B_country
979,movies from england,O O B_country
980,movies from england please,O O B_country O
981,show me england movies,O O B_country O
982,show me movies from england,O O O O B_country
983,show me movies made in england,O O O O O B_country
984,find movies directed by chris columbus,O O O O B_director I_director
985,what other movies has richard lester directed,O O O O B_director I_director O
986,search for movies by language,O O O O O
987,mandarin movie please,B_language O O
988,please find a movie in mandarin,O O O O O B_language
989,movie made in mandarin,O O O B_language
990,which movies are originally in a foreign language,O O O O O O O O
991,find me tamil movies,O O B_language O
992,show me the latest movies in tamil,O O O O O O B_language
993,find hindi movies,O B_language O
994,find movies in hindi,O O O B_language
995,list the hindi movies,O O B_language O
996,what is hindi,O O B_language
997,i would like to get a list of movie names in hindi language,O O O O O O O O O O O B_language I_language
998,what films are not spoken in english,O O O O O O B_language
999,what movies are spoken in another language,O O O O O O O
1000,i want to watch a romance made in india,O O O O O B_genre O O B_country
1001,i need to get a list of some romantic indian movies,O O O O O O O O B_genre I_country O
1002,find movies from india,O O O B_country
1003,look up movies from india,O O O O B_country
1004,see movies from india,O O O B_country
1005,find indian movies,O B_country O
1006,give me a list of some indian movies,O O O O O O B_country O
1007,brian de palma movies,B_director I_director I_director O
1008,complete list of movies made by searchlight films,O O O O O O B_producer O
1009,list movies by searchlight films,O O O B_producer O
1010,list of movies produced by searchlight films,O O O O O B_producer O
1011,what are some movies made by searchlight films,O O O O O O B_producer O
1012,movies about bank robberies,O O B_subject I_subject
1013,show me sarah polley movies,O O B_person I_person O
1014,show me french r rated dramas,O O B_language B_mpaa_rating O B_genre
1015,list french language comedy films,O B_language I_language B_genre O
1016,show french comedy films,O B_language B_genre O
1017,what are some movies that were produced in europe,O O O O O O O O B_country
1018,films produced by laurie macdonald,O O O B_producer I_producer
1019,find me dreamworks films,O O B_producer O
1020,movie by dreamworks,O O B_producer
1021,movie made by dreamworks,O O O B_producer
1022,what movies are made by dreamworks,O O O O O B_producer
1024,what movies did kevin costner direct,O O O B_director I_director O
1025,dirty dancing movie,B_movie I_movie O
1026,dirty dancing movie short cuts,B_movie I_movie O O O
1027,show me the dirty dancing movie,O O O B_movie I_movie O
1028,will you please show me info on the movie dirty dancing,O O O O O O O O O B_movie I_movie
1029,find the movie dirty dancing,O O O B_movie I_movie
1030,get me info for the movie dirty dancing,O O O O O O B_movie I_movie
1031,i need to get every possible information related with the movie dirty dancing,O O O O O O O O O O O B_movie I_movie
1032,i want to see infomation on the movie dirty dancing,O O O O O O O O B_movie I_movie
1033,i would like to get all the information about the movie dirty dancing,O O O O O O O O O O O B_movie I_movie
1034,please show me info on the movie dirty dancing,O O O O O O O B_movie I_movie
1035,show me all the information about the movie dirty dancing like story reviews cast etc,O O O O O O O O B_movie I_movie O O O O O
1036,show me info on the movie dirty dancing please,O O O O O O B_movie I_movie O
1037,show me information for the movie dirty dancing,O O O O O O B_movie I_movie
1038,show me more details for the movie dirty dancing,O O O O O O O B_movie I_movie
1039,can you please show me info on the movie dirty dancing,O O O O O O O O O B_movie I_movie
1040,can you tell me about the movie dirty dancing in detail,O O O O O O O B_movie I_movie O O
1041,what films has robert redford directed,O O O B_director I_director O
1042,i want to see a robert redford produced movie,O O O O O B_producer I_producer O O
1043,i would like to see something produced by robert redford,O O O O O O O O B_producer I_producer
1044,bette midler movies,B_person I_person O
1045,bette midler movies please,B_person I_person O O
1046,show bette midler movies,O B_person I_person O
1047,show me cameron diaz movies,O O B_person I_person O
1048,show me movies with jennifer aniston,O O O O B_cast I_cast
1049,russell crowe movies,B_person I_person O
1050,about life is beautiful,O B_movie I_movie I_movie
1051,details about life is beautiful please,O O B_movie I_movie I_movie O
1052,find synopsis for life is beautiful,O O O B_movie I_movie I_movie
1053,i need page on life is beautiful,O O O O B_movie I_movie I_movie
1054,i want information about life is beautiful,O O O O B_movie I_movie I_movie
1055,i want to know about life is beautiful,O O O O O B_movie I_movie I_movie
1056,i would like to view info on life is beautiful,O O O O O O O B_movie I_movie I_movie
1057,life is beautiful,B_movie I_movie I_movie
1058,run a search for life is beautiful,O O O O B_movie I_movie I_movie
1059,show me life is beautiful information,O O B_movie I_movie I_movie O
1061,footloose,B_movie
1062,show jason statham movies,O B_person I_person O
1063,list statham 's movies,O B_person O O
1064,find movies from new zealand,O O O B_country I_country
1065,show me the movies acted by bala krishna,O O O O O O B_cast I_cast
1066,korean language movie,B_language I_language O
1067,show me korean language movie,O O B_language I_language O
1068,can you find the movies with korean language,O O O O O O B_language I_language
1069,show me movies that are in korean,O O O O O O B_language
1070,portugese movies,B_country O
1071,current movie options for today with patrick swayze,O O O O O O B_cast I_cast
1072,display all results for dirty dancing,O O O O B_movie I_movie
1073,find information on dirty dancing,O O O B_movie I_movie
1074,search for dirty dancing,O O B_movie I_movie
1075,search for dirty dancing,O O B_movie I_movie
1076,how can i view dirty dancing,O O O O B_movie I_movie
1077,dirty dancing facts,B_movie I_movie O
1078,did alfred hitchcock direct a comedy,O B_director I_director O O B_genre
1079,martin lawrence directed what movie,B_director I_director O O O
1080,find movies from japan,O O O B_country
1081,show me movies from japan,O O O O B_country
1082,show me movies from japan,O O O O B_country
1083,what are some movies made in japan,O O O O O O B_country
1084,what movies came from japan,O O O O B_country
1085,which movies were made in japan,O O O O O B_country
1086,i want to find a list of movies made in japan,O O O O O O O O O O B_country
1087,do you have any movies made in japan,O O O O O O O B_country
1088,find japanese movies,O B_country O
1089,find japanese movies,O B_country O
1090,give me some names of japanese movies,O O O O O B_country O
1091,i want japanese movies,O O B_country O
1092,i want to see japanese movies,O O O O B_country O
1093,i would like to know names of some of the japanese movies,O O O O O O O O O O B_country O
1094,japanese movies,B_country O
1095,show me a list of some japanese movies,O O O O O O B_country O
1096,show me japanese movies,O O B_country O
1097,sort in all japanese movies,O O O B_country O
1098,do you have a list of japanese movies,O O O O O O B_country O
1099,i want to see a film in japanese,O O O O O O O B_language
1100,show me movies in japanese,O O O O B_language
1101,films with japaneese,O O B_language
1102,what movies have people speaking japanese in them,O O O O O B_language O O
1103,what are some japanese movies,O O O B_country O
1104,find movies in british english,O O O B_language I_language
1105,find movies from miramax,O O O B_producer
1106,see miramax movies,O B_producer O
1107,watch miramax,O B_producer
1108,find movies with sandra bullock,O O O B_cast I_cast
1109,find sandra bullock movies,O B_person I_person O
1110,movies with sandra bullock,O O B_cast I_cast
1111,movies with vampires,O O B_subject
1112,what movies about vampires are there,O O O B_subject O O
1113,movies will smith stars in,O B_cast I_cast O O
1114,show me will smith movies,O O B_person I_person O
1115,what experience does darla anderson have as a producer,O O O B_producer I_producer O O O O
1116,look for movies directed by tyler perry,O O O O O B_director I_director
1117,which movies are directed by tyler perry,O O O O O B_director I_director
1118,give me movies directed by tyler perry,O O O O O B_director I_director
1119,search for movies directed by tyler perry,O O O O O B_director I_director
